#
#Sine-function. 
#input: x in radians. Output: sin(x)
# TrainingPatterns 64
0.0     0.000000        
0.1     0.099833       
0.2     0.198669      
0.3     0.295520     
0.4     0.389418    
0.5     0.479426   
0.6     0.564642       
0.7     0.644218      
0.8     0.717356     
0.9     0.783327    
1.0     0.841471   
1.1     0.891207  
1.2     0.932039 
1.3     0.963558      
1.4     0.985450     
1.5     0.997495    
1.6     0.999574   
1.7     0.991665  
1.8     0.973848 
1.9     0.946300       
2.0     0.909297      
2.1     0.863209     
2.2     0.808496    
2.3     0.745705   
2.4     0.675463  
2.5     0.598472 
2.6     0.515501       
2.7     0.427380      
2.8     0.334988     
2.9     0.239249    
3.0     0.141120   
3.1     0.041581  
3.2     -0.05837 
3.3     -0.15775       
3.4     -0.25554      
3.5     -0.35078     
3.6     -0.44252    
3.7     -0.52984   
3.8     -0.61186       
3.9     -0.68777      
4.0     -0.75680     
4.1     -0.81828    
4.2     -0.87158   
4.3     -0.91617       
4.4     -0.95160      
4.5     -0.97753     
4.6     -0.99369    
4.7     -0.99992   
4.8     -0.99616  
4.9     -0.98245 
5.0     -0.95892      
5.1     -0.92581     
5.2     -0.88345    
5.3     -0.83227   
5.4     -0.77276       
5.5     -0.70554      
5.6     -0.63127     
5.7     -0.55069    
5.8     -0.46460   
5.9     -0.37388  
6.0     -0.27942 
6.1     -0.18216       
6.2     -0.08309      
6.3     0.016814     
